pareto_p,yield_thresh,n_rounds,k_escape,survey,recall,corpus_size,n_rounds_run,recall_r1,recall_r2,recall_r3
10,0.2,3,20,S3_TOPO,0.6434108527131783,67466,3,0.5322997416020672,0.5607235142118863,0.6434108527131783
10,0.2,3,50,S1_MIT,0.8814432989690721,119312,3,0.4793814432989691,0.7508591065292096,0.8814432989690721
10,0.2,3,50,S2_UCG,0.8888888888888888,119346,3,0.3148148148148148,0.7152777777777778,0.8888888888888888
10,0.2,3,50,S3_TOPO,0.7441860465116279,97432,3,0.5322997416020672,0.6175710594315246,0.7441860465116279
20,0.01,1,5,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.01,1,5,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.01,1,5,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.01,1,10,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.01,1,10,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.01,1,10,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.01,1,20,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.01,1,20,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.01,1,20,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.01,1,50,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.01,1,50,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.01,1,50,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.01,2,5,S1_MIT,0.6632302405498282,56151,2,0.5962199312714777,0.6632302405498282,
20,0.01,2,5,S2_UCG,0.6226851851851852,57991,2,0.5439814814814815,0.6226851851851852,
20,0.01,2,5,S3_TOPO,0.7235142118863049,55848,2,0.710594315245478,0.7235142118863049,
20,0.01,2,10,S1_MIT,0.7079037800687286,69754,2,0.5962199312714777,0.7079037800687286,
20,0.01,2,10,S2_UCG,0.6435185185185185,72605,2,0.5439814814814815,0.6435185185185185,
20,0.01,2,10,S3_TOPO,0.7260981912144703,62871,2,0.710594315245478,0.7260981912144703,
20,0.01,2,20,S1_MIT,0.7250859106529209,85827,2,0.5962199312714777,0.7250859106529209,
20,0.01,2,20,S2_UCG,0.7060185185185185,96926,2,0.5439814814814815,0.7060185185185185,
20,0.01,2,20,S3_TOPO,0.7545219638242894,76485,2,0.710594315245478,0.7545219638242894,
20,0.01,2,50,S1_MIT,0.8333333333333334,121818,2,0.5962199312714777,0.8333333333333334,
20,0.01,2,50,S2_UCG,0.7638888888888888,130667,2,0.5439814814814815,0.7638888888888888,
20,0.01,2,50,S3_TOPO,0.7829457364341085,104215,2,0.710594315245478,0.7829457364341085,
20,0.01,3,5,S1_MIT,0.6872852233676976,68692,3,0.5962199312714777,0.6632302405498282,0.6872852233676976
20,0.01,3,5,S2_UCG,0.6296296296296297,63980,3,0.5439814814814815,0.6226851851851852,0.6296296296296297
20,0.01,3,5,S3_TOPO,0.7235142118863049,67446,3,0.710594315245478,0.7235142118863049,0.7235142118863049
20,0.01,3,10,S1_MIT,0.7852233676975945,83208,3,0.5962199312714777,0.7079037800687286,0.7852233676975945
20,0.01,3,10,S2_UCG,0.6759259259259259,85130,3,0.5439814814814815,0.6435185185185185,0.6759259259259259
20,0.01,3,10,S3_TOPO,0.7312661498708011,79613,3,0.710594315245478,0.7260981912144703,0.7312661498708011
20,0.01,3,20,S1_MIT,0.7852233676975945,110990,3,0.5962199312714777,0.7250859106529209,0.7852233676975945
20,0.01,3,20,S2_UCG,0.8402777777777778,118875,3,0.5439814814814815,0.7060185185185185,0.8402777777777778
20,0.01,3,20,S3_TOPO,0.7777777777777778,103325,3,0.710594315245478,0.7545219638242894,0.7777777777777778
20,0.01,3,50,S1_MIT,0.915807560137457,146261,3,0.5962199312714777,0.8333333333333334,0.915807560137457
20,0.01,3,50,S2_UCG,0.9004629629629629,156162,3,0.5439814814814815,0.7638888888888888,0.9004629629629629
20,0.01,3,50,S3_TOPO,0.8397932816537468,133120,3,0.710594315245478,0.7829457364341085,0.8397932816537468
20,0.02,1,5,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.02,1,5,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.02,1,5,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.02,1,10,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.02,1,10,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.02,1,10,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.02,1,20,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.02,1,20,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.02,1,20,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.02,1,50,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.02,1,50,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.02,1,50,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.02,2,5,S1_MIT,0.6632302405498282,56151,2,0.5962199312714777,0.6632302405498282,
20,0.02,2,5,S2_UCG,0.6226851851851852,57991,2,0.5439814814814815,0.6226851851851852,
20,0.02,2,5,S3_TOPO,0.7235142118863049,55848,2,0.710594315245478,0.7235142118863049,
20,0.02,2,10,S1_MIT,0.7079037800687286,69754,2,0.5962199312714777,0.7079037800687286,
20,0.02,2,10,S2_UCG,0.6435185185185185,72605,2,0.5439814814814815,0.6435185185185185,
20,0.02,2,10,S3_TOPO,0.7260981912144703,62871,2,0.710594315245478,0.7260981912144703,
20,0.02,2,20,S1_MIT,0.7250859106529209,85827,2,0.5962199312714777,0.7250859106529209,
20,0.02,2,20,S2_UCG,0.7060185185185185,96926,2,0.5439814814814815,0.7060185185185185,
20,0.02,2,20,S3_TOPO,0.7545219638242894,76485,2,0.710594315245478,0.7545219638242894,
20,0.02,2,50,S1_MIT,0.8333333333333334,121818,2,0.5962199312714777,0.8333333333333334,
20,0.02,2,50,S2_UCG,0.7638888888888888,130667,2,0.5439814814814815,0.7638888888888888,
20,0.02,2,50,S3_TOPO,0.7829457364341085,104215,2,0.710594315245478,0.7829457364341085,
20,0.02,3,5,S1_MIT,0.6872852233676976,68692,3,0.5962199312714777,0.6632302405498282,0.6872852233676976
20,0.02,3,5,S2_UCG,0.6296296296296297,63980,3,0.5439814814814815,0.6226851851851852,0.6296296296296297
20,0.02,3,5,S3_TOPO,0.7235142118863049,67446,3,0.710594315245478,0.7235142118863049,0.7235142118863049
20,0.02,3,10,S1_MIT,0.7852233676975945,83208,3,0.5962199312714777,0.7079037800687286,0.7852233676975945
20,0.02,3,10,S2_UCG,0.6759259259259259,85130,3,0.5439814814814815,0.6435185185185185,0.6759259259259259
20,0.02,3,10,S3_TOPO,0.7312661498708011,79613,3,0.710594315245478,0.7260981912144703,0.7312661498708011
20,0.02,3,20,S1_MIT,0.7852233676975945,110990,3,0.5962199312714777,0.7250859106529209,0.7852233676975945
20,0.02,3,20,S2_UCG,0.8402777777777778,118875,3,0.5439814814814815,0.7060185185185185,0.8402777777777778
20,0.02,3,20,S3_TOPO,0.7777777777777778,103325,3,0.710594315245478,0.7545219638242894,0.7777777777777778
20,0.02,3,50,S1_MIT,0.915807560137457,146261,3,0.5962199312714777,0.8333333333333334,0.915807560137457
20,0.02,3,50,S2_UCG,0.9004629629629629,156162,3,0.5439814814814815,0.7638888888888888,0.9004629629629629
20,0.02,3,50,S3_TOPO,0.8397932816537468,133120,3,0.710594315245478,0.7829457364341085,0.8397932816537468
20,0.05,1,5,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.05,1,5,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.05,1,5,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.05,1,10,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.05,1,10,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.05,1,10,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.05,1,20,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.05,1,20,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.05,1,20,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.05,1,50,S1_MIT,0.5962199312714777,32945,1,0.5962199312714777,,
20,0.05,1,50,S2_UCG,0.5439814814814815,24209,1,0.5439814814814815,,
20,0.05,1,50,S3_TOPO,0.710594315245478,38694,1,0.710594315245478,,
20,0.05,2,5,S1_MIT,0.6632302405498282,56151,2,0.5962199312714777,0.6632302405498282,
20,0.05,2,5,S2_UCG,0.6226851851851852,57991,2,0.5439814814814815,0.6226851851851852,
20,0.05,2,5,S3_TOPO,0.7235142118863049,55848,2,0.710594315245478,0.7235142118863049,
20,0.05,2,10,S1_MIT,0.7079037800687286,69754,2,0.5962199312714777,0.7079037800687286,
20,0.05,2,10,S2_UCG,0.6435185185185185,72605,2,0.5439814814814815,0.6435185185185185,
20,0.05,2,10,S3_TOPO,0.7260981912144703,62871,2,0.710594315245478,0.7260981912144703,
20,0.05,2,20,S1_MIT,0.7250859106529209,85827,2,0.5962199312714777,0.7250859106529209,
20,0.05,2,20,S2_UCG,0.7060185185185185,96926,2,0.5439814814814815,0.7060185185185185,
20,0.05,2,20,S3_TOPO,0.7545219638242894,76485,2,0.710594315245478,0.7545219638242894,
20,0.05,2,50,S1_MIT,0.8333333333333334,121818,2,0.5962199312714777,0.8333333333333334,
20,0.05,2,50,S2_UCG,0.7638888888888888,130667,2,0.5439814814814815,0.7638888888888888,
20,0.05,2,50,S3_TOPO,0.7829457364341085,104215,2,0.710594315245478,0.7829457364341085,
20,0.05,3,5,S1_MIT,0.6872852233676976,68692,3,0.5962199312714777,0.6632302405498282,0.6872852233676976
20,0.05,3,5,S2_UCG,0.6296296296296297,63980,3,0.5439814814814815,0.6226851851851852,0.6296296296296297
